titleId,region,primaryTitle,isAdult,startYear,Genre,averageRating,numVotes,nconst,primaryName,primaryProfession,knownForTitles
tt0027154,HU,The Fantasticks,0,2000,"Musical,Romance",5.5,41,nm0115869,Arkadiusz Brukner,actor,tt0099776
tt0028301,DK,Lion of Oz,0,2000,"Animation,Family,Musical",8.4,14,nm0123651,Leonard M. Burton,producer,"tt0968263,tt0138075"
tt0032563,\N,Josh,0,2000,"Action,Drama,Musical",7.1,32,nm0153944,Don Chastain,"actor,writer","tt0055657,tt0056758,tt0306616,tt0048845"
tt0034249,FR,The Magic Pudding,0,2000,"Animation,Family,Musical",7.1,49,nm0165961,Terence A. Clegg,"assistant_director,production_manager,producer","tt0119395,tt0066921,tt0103939,tt0089755"
tt0035024,GR,Dancer in the Dark,0,2000,"Crime,Drama,Musical",6.8,10,nm0171345,Zeida Coles,actress,tt0056752
tt0035096,AR,Lagaan: Once Upon a Time in India,0,2001,"Adventure,Drama,Musical",8.4,17,nm0171783,Amy Collett,actress,"tt0166052,tt0106168,tt0247082,tt0233559"
tt0035318,FR,South Side Story,0,2000,"Comedy,Musical,Romance",5.9,3781,nm0173287,Shawn Coulter,"transportation_department,stunts,miscellaneous","tt0268995,tt1855199,tt0228333,tt0340163"
tt0036969,US,Love's Labour's Lost,0,2000,"Comedy,Musical,Romance",6.9,36,nm0184966,Christine Cox,actress,"tt0093496,tt1956017,tt0096405,tt1769411"
tt0037735,US,Very Annie Mary,0,2001,"Comedy,Musical",6.1,12,nm0190683,Ãgnes Csere,"actress,producer,sound_department","tt0084897,tt0118906,tt0190867,tt0867329"
tt0038341,BR,While Supplies Last,0,2002,"Comedy,Musical",5.1,4140,nm0195262,Jasae,actress,"tt0098206,tt0131231,tt0166972,tt0101399"
tt0038718,IL,Nachtmusik,0,2000,"Fantasy,Musical",6.4,17,nm0198268,Declan Dalton,actor,tt0115740
tt0038945,US,Live Freaky Die Freaky,0,2006,"Animation,Comedy,Musical",8,91,nm0200043,Nada Daniels,actress,tt0108425
tt0039129,IN,Aitanic,0,2000,Musical,8.4,10,nm0201690,John Darrow,actor,"tt0024336,tt0022278,tt0019304,tt0023808"
tt0039530,DK,Moulin Rouge!,0,2001,"Drama,Musical,Romance",6.1,23,nm0205280,Perry Davis,make_up_department,tt0174236
tt0040283,XWW,Downtown 81,0,2000,"Comedy,Drama,Musical",6.4,5,nm0211229,Noel de Rooy,miscellaneous,tt0194104
tt0040433,\N,Could Be Worse!,0,2000,Musical,6.2,24,nm0212359,Rusty De Wees,"actor,stunts","tt2396659,tt0182374,tt0179861,tt0108557"
tt0040588,SE,Nel cuore del padre,0,2000,"Biography,Drama,Musical",8.1,709,nm0213738,Julianne Dechaine,"costume_designer,costume_department","tt0099004,tt0092325,tt0107091,tt0101110"
tt0040607,IT,Vengo,0,2000,"Drama,Musical",3.7,35,nm0213920,Bernard Declercq,"director,writer,sound_department","tt0267514,tt6662126,tt0267564,tt2032416"
tt0040830,GB,Mohabbatein,0,2000,"Drama,Musical,Romance",7.8,8,nm0216143,Josiane Delahaie,actress,tt0220726
tt0041495,BE,My Chorus,0,2000,"Comedy,Musical,Short",4.9,35,nm0221442,Florence Desmond,"actress,soundtrack","tt0065009,tt0027661,tt0023248,tt0022336"
tt0041508,US,Unconditional Love,0,2002,"Comedy,Drama,Musical",7,5,nm0221623,Akis Despotopoulos,actor,"tt0374002,tt0318565,tt0221635,tt0163798"
tt0041825,CA,Phir Bhi Dil Hai Hindustani,0,2000,"Comedy,Drama,Musical",7.7,20,nm0224432,Diacoff,,\N
tt0041925,BE,Spot's Musical Adventures,0,2000,"Animation,Family,Musical",4.4,12,nm0225295,Troy Dick,"camera_department,cinematographer","tt0390384,tt0120780,tt0483565"
tt0042038,\N,Tom Sawyer,0,2000,"Animation,Family,Musical",8.7,12,nm0226418,Rainer Diez,actor,tt0071383
tt0042397,FI,Un paraÃ­so bajo las estrellas,0,2000,"Comedy,Musical,Romance",7.1,50,nm0229416,Anna Dmokhovskaya,actress,"tt0029932,tt0015213,tt0228212,tt0269140"
tt0043090,NL,The Beatles Yellow Submarine Adventure,0,2000,"Adventure,Animation,Musical",3.4,48,nm0235563,Alice Dovey,actress,"tt0145443,tt0943275,tt0495420,tt0005126"
tt0043411,IT,Stolen Tangos,0,2001,"Comedy,Musical",5.4,355,nm0238112,David Driver,"camera_department,editor,miscellaneous","tt0112761,tt0119891,tt0116147,tt1789102"
tt0043621,ES,Shaheed Uddham Singh: Alais Ram Mohammad Singh Azad,0,2000,"Biography,Drama,Musical",3,74,nm0240046,Ingrid Dudek,"sound_department,actress,cinematographer","tt1735305,tt0202695"
tt0043751,AT,Devdas,0,2002,"Drama,Musical,Romance",6.3,111,nm0241254,Ivan Dukinsky,director,tt0042785
tt0043783,\N,Authentiques,0,2000,"Documentary,Musical",6.4,120044,nm0241567,Doru Dumitrescu,"stunts,actor","tt0383222,tt1196948,tt0402901,tt0114194"
tt0043882,TR,Tosca,0,2001,"Drama,Musical",5.3,42,nm0242455,Jack Dunlop,actor,"tt0077000,tt0093755"
tt0043938,FI,Made in Brazil,0,2003,"Comedy,Musical",5.4,12,nm0243047,Geordie Dunstan,stunts,"tt0286922,tt0263746,tt0227510"
tt0043973,BR,Zazie: Made in Live,0,2000,"Documentary,Musical",6.7,12325,nm0243438,Don Duprey,producer,"tt0256197,tt0109679,tt0071155"
tt0044105,HU,Alai Payuthey,0,2000,"Drama,Musical,Romance",5.3,7,nm0244652,G. Dusmatas,actor,tt0060662
tt0044172,GB,South Pacific,0,2001,"Comedy,Drama,Musical",4.4,65,nm0245307,Dusty Dvorak,"actor,producer",tt0091995
tt0044188,\N,Biebabeloela,0,2000,Musical,8.7,12,nm0245470,Alicia Dwyer,"director,editor,assistant_director","tt2327655,tt1737753,tt5061570,tt2464746"
tt0044318,BE,The American Astronaut,0,2001,"Comedy,Musical,Sci-Fi",8.6,5,nm0246182,Dzhumber Dzidzava,actor,"tt0079331,tt0275306,tt0274462,tt0274930"
tt0044517,IL,Chunhyang,0,2000,"Drama,Musical,Romance",4.9,672,nm0248278,Dustin Ebsen,"editor,editorial_department,actor","tt0472279,tt0239195,tt1362389,tt3142690"
tt0044518,RO,The Miraculous Manderin,0,2001,"Drama,Musical,Short",6.8,9,nm0248289,Leila Ebtehadj,actress,tt0096188
tt0044736,DK,Rebels,0,2001,"Comedy,Musical,Romance",6.8,13,nm0250099,Thornton Edwards,"actor,miscellaneous","tt0034189,tt0033550,tt0033576,tt0033620"
tt0044778,GB,Kabhi Khushi Kabhie Gham...,0,2001,"Drama,Musical,Romance",6.6,5,nm0250580,Claudia Effner,"editor,editorial_department","tt0125618,tt0086391,tt0097861,tt0092246"
tt0044789,PT,Na Tum Jaano Na Hum,0,2002,"Comedy,Drama,Musical",6.3,11,nm0250673,George Egan,actor,"tt0204327,tt0204159,tt0335991,tt0204353"
tt0044836,\N,Yaadein...,0,2001,"Drama,Musical,Romance",7.1,31,nm0251076,Tim Egloff,actor,"tt0221732,tt1037349,tt0806910,tt0248409"
tt0045020,GB,Every Heart That Loves,0,2000,"Comedy,Drama,Musical",6.3,23004,nm0252864,Abdel Fattah El-Said,writer,"tt1051699,tt0193054,tt0359963,tt0207696"
tt0045050,\N,Refugee,0,2000,"Drama,Musical,Romance",6.6,248,nm0253133,Jan Eldred,editor,tt0075281
tt0045057,IT,Your Magical Spell Worked,0,2000,"Musical,Romance",7,172192,nm0253220,Ica Elek,actress,"tt0036087,tt0241202"
tt0045061,HU,You're Invited to Mary-Kate & Ashley's Greatest Parties,0,2000,Musical,3,39,nm0253278,Lewis Eley,music_department,tt0097216
tt0045264,\N,All or Nothing,0,2001,"Drama,Musical",8,19,nm0255326,Luis Ellul,actor,tt0045634
tt0045614,FR,Raja Ko Rani Se Pyar Ho Gaya,0,2000,"Comedy,Musical,Romance",7.5,6,nm0258036,Bob Enriquez,miscellaneous,"tt0101917,tt0106661,tt1279972,tt0256546"
tt0045652,GR,Peter Pan,0,2000,"Family,Fantasy,Musical",6.8,6,nm0258366,Gordon Epperson,miscellaneous,tt0101590
tt0045737,AT,Secretly and Stealthily,0,2001,"Drama,Musical,Romance",6.2,17,nm0259197,Janne Ericsson,actress,"tt0295787,tt0481258,tt0115181,tt0116494"
tt0045888,US,Rita va al supermercado,0,2000,"Comedy,Musical,Short",6.1,17,nm0260625,Jason Eskeland,art_department,"tt0298814,tt0184894,tt0119051,tt0389957"
tt0046094,FI,Paavo Suuri. Suuri Juoksu. Suuri Uni.,0,2000,Musical,8.8,10,nm0262797,Glyn Evans,actor,tt0173722
tt0046384,JP,Abuzer Kadayif,0,2000,"Comedy,Drama,Musical",7.4,22,nm0265598,Ailsa Fairley,actress,"tt0970178,tt0297626"
tt0046404,UY,Christmas in South Park,0,2000,"Animation,Comedy,Musical",9,5,nm0265779,Borys Fajngold,actor,tt0202077
tt0046415,VE,Flans: El concierto,0,2000,Musical,8.9,17,nm0265918,Rose Marie Falcke,actress,tt0050324
tt0046427,PT,JÃ³zsef Ã©s testvÃ©rei,0,2000,"Drama,Musical",7.9,55,nm0266080,Ugo Falena,"director,writer,actor","tt0331044,tt0383482,tt0396759,tt0924279"
tt0046600,MX,I Am Crazy About Love,0,2003,"Comedy,Drama,Musical",8.8,21,nm0267734,Cyrus Farmer,actor,"tt0260866,tt0472198,tt0306414,tt0118421"
tt0046642,GB,Smouldering Cigarette,0,2001,"Drama,Musical,Romance",6.4,410,nm0267841,Federica Farnese,actress,"tt0096959,tt0099901,tt0100577"
tt0046642,US,Landysh serebristyy,0,2000,"Comedy,Musical,Romance",7.4,15,nm0267850,David W. Farness,transportation_department,tt0139124
tt0046647,US,Lion's Mouth,0,2000,"Drama,Fantasy,Musical",5.4,11,nm0267862,Brian Farnham,"director,producer","tt0398546,tt0094525,tt0111904,tt0118292"
tt0046720,PT,Anything But Love,0,2002,"Musical,Romance",8.3,58,nm0268374,Mariann Farrelly,actress,"tt0116778,tt0129387"
tt0046722,DE,Superstarlet A.D.,0,2000,"Comedy,Musical,Sci-Fi",4.6,43,nm0268399,Caroline Farrer,"sound_department,stunts",tt0110386
tt0046865,AT,Vazelina hjulkalender,0,2000,"Adventure,Family,Musical",8.1,31,nm0269803,Christiane Fazlagic,editor,"tt0907694,tt1008628,tt0366097,tt0934339"
tt0046871,\N,Animated Corpse,0,2000,"Drama,Fantasy,Musical",7.6,35,nm0269836,Daria FaÃ¯n,,tt0088319
tt0046970,GB,Kahin Pyaar Na Ho Jaaye,0,2000,"Comedy,Drama,Musical",7.7,108,nm0270965,Sharon Felder,miscellaneous,"tt0109830,tt0162222,tt0118884,tt0161081"
tt0047113,BE,Rocky Horror 25: Anniversary Special,0,2000,"Comedy,Music,Musical",7.3,63,nm0272357,Larry Ferguson Jr.,"production_manager,producer,editorial_department","tt2112307,tt1572315,tt1196948,tt0443465"
tt0047204,\N,Titkos szeretÃ¶k,0,2000,"Drama,Musical",8.2,6,nm0273279,JosÃ© FernÃ¡ndez GÃ³mez,writer,"tt0038921,tt0036612,tt0038173"
tt0047218,GB,Babs,0,2000,"Comedy,Musical",8.5,6,nm0273433,Carmen FernÃ¡ndez,actress,tt0098194
tt0047272,FR,Eight Crazy Nights,0,2002,"Animation,Comedy,Musical",7.7,94,nm0273858,Catherine M. Ferran,stunts,tt0085470
tt0047426,BE,Mujhse Dosti Karoge!,0,2002,"Drama,Family,Musical",8.4,134,nm0275325,Vladan Fetkovski,actor,tt0265556
tt0047491,US,Dil Ne Phir Yaad Kiya,0,2001,"Drama,Musical,Romance",6.8,5,nm0276139,Glyn Fielding,camera_department,"tt0337610,tt0382189,tt0275409,tt0113429"
tt0047561,GB,Starye pesni o glavnom. Postskriptum,0,2000,"Music,Musical",8.4,13,nm0276722,Marcela Figueroa,"editorial_department,editor,sound_department","tt6047298,tt0401383,tt0115658,tt2278871"
tt0047580,TR,Carmen: A Hip Hopera,0,2001,"Drama,Musical",8.4,30,nm0277022,Laurent Filipe,"actor,composer,music_department","tt0119921,tt2196826,tt1068496,tt4737966"
tt0047595,BE,IPC 215,0,2000,Musical,8.2,24,nm0277169,Maja Filjak-Bilandzija,editor,"tt1948105,tt0070807,tt0333936,tt0069543"
tt0047595,GB,Ilaiyavan,0,2000,Musical,7.8,25,nm0277175,Lena Filkovskaya,actress,tt0020369
tt0047628,NL,Puratchi,0,2000,Musical,8,21,nm0277360,John Finan,actor,"tt0165789,tt0220605,tt1319707,tt0236450"
tt0047630,FI,Saamy Kodutha Varam,0,2000,Musical,8.1,19,nm0277393,Charles Finch,"producer,writer,actor","tt0278731,tt0105809,tt0109198,tt0490181"
tt0047676,BE,Aagaayam,0,2000,Musical,7.8,22,nm0277789,Christian Fink,art_department,tt0138467
tt0047795,CL,Los Almendros - Plaza nueva -,0,2000,"Musical,Short",8,83,nm0278545,Eugenio Fiori,sound_department,"tt0059792,tt0065143,tt0065842,tt0073582"
tt0047883,US,Cirque du Soleil: Dralion,0,2001,"Family,Musical",7.3,41,nm0279481,Erik Fisher,,tt0280558
tt0047889,AT,ErÃ¨ mÃ¨la mÃ¨la,0,2001,"Animation,Musical,Short",7.8,41,nm0279562,Jason Zone Fisher,"actor,miscellaneous,producer","tt0963346,tt0109531,tt1117581,tt1230188"
tt0048100,GB,Chhupa Rustam: A Musical Thriller,0,2001,"Drama,Musical,Romance",8.9,16,nm0281658,Elaine Fleming,"miscellaneous,location_management,producer","tt0279600,tt0298814,tt0374455,tt0113497"
tt0048109,GR,Getaran,0,2001,"Musical,Romance",6,24,nm0281746,Neal Fleming,actor,tt0085121
tt0048197,\N,Jekyll & Hyde: The Musical,0,2001,"Horror,Musical,Sci-Fi",7.2,6,nm0282525,Jonathan Flom,"production_manager,producer,miscellaneous","tt0137201,tt0478049,tt1288562,tt0106598"
tt0048262,FR,Devadoothan,0,2000,"Drama,Horror,Musical",6.8,37,nm0283265,Helen E. Floyd,actress,tt0117913
tt0048312,JP,Super Duper,0,2000,"Comedy,Horror,Musical",8.2,149,nm0283917,Howard Fogetti,sound_department,"tt0037759,tt0042593,tt0041100,tt0041994"
tt0048340,NO,Ayyappante Amma Neyyappam Chuttu,0,2000,Musical,9,76,nm0284303,Ulrich Folkmar,actor,"tt2506354,tt3010756,tt0044697,tt2633862"
tt0048347,CA,Daivathinte Makan,0,2000,"Comedy,Musical",7.5,19,nm0284438,Natalya Fomenko,actress,"tt0096126,tt1407957,tt7751544,tt4971212"
tt0048350,JP,Destiny's Child: Say My Name,0,2000,"Music,Musical,Short",4.7,50,nm0284480,Nicole Fonarow,actress,"tt0281849,tt0346629,tt0369048,tt1527713"
tt0048351,SE,Dez GrÃ£ozinhos de Terra,0,2000,"Documentary,Musical",4.9,50,nm0284482,Jean-Marie Fonbonne,actor,"tt1323558,tt1424310,tt0105682,tt2106321"
tt0048419,SE,South of a Passion,0,2000,"Drama,Musical",7.8,14,nm0285048,Greg Fontenot,actor,tt0095119
tt0048424,IR,Ee Mazha Then Mazha,0,2000,Musical,6.1,34,nm0285134,AntÃ´nio Fonzar,actor,"tt0422472,tt0390940,tt0331057,tt0451968"
tt0048432,JP,The Gang,0,2000,"Action,Musical,Thriller",7.5,47,nm0285195,Stacy Foot,"miscellaneous,costume_department","tt0340163,tt0368891,tt0120591,tt0177971"
tt0048441,BE,Ingine Oru Nilapakshi,0,2000,Musical,7.8,5,nm0285301,Brenda Forbes,"actress,miscellaneous","tt0046637,tt0047731,tt0047707,tt0035093"
tt0048460,\N,Neela Thatakathile Nizhal Pakshikal,0,2000,Musical,7.1,276,nm0285471,AndrÃ© Forcier,"director,writer,actor","tt8399104,tt1753649,tt0100847,tt0111601"
tt0048463,MX,Nisa Sundarikal,0,2000,Musical,7.7,288,nm0285488,Kenny Ford Jr.,"actor,soundtrack","tt0086744,tt1497876,tt0094414,tt0106151"
tt0048471,DK,Pilots,0,2000,"Action,Comedy,Musical",7.4,353,nm0285531,Brad Ford,actor,"tt0210483,tt0085937"
tt0048527,GR,GarÃºa,0,2005,"Drama,Musical",7.6,43,nm0286054,Kelly Foreman,costume_department,"tt0267913,tt0338188,tt0259324,tt0448011"
tt0048527,IT,Her Urge,0,2000,"Comedy,Musical,Short",7.2,34,nm0286067,Philip Forman,actor,"tt0111223,tt0108553"
tt0048530,HU,Indriyam,0,2000,"Horror,Musical",8,437,nm0286110,Delphine Forest,actress,"tt0094530,tt0099776,tt0096968,tt0251830"
tt0048535,ES,Millenium Stars,0,2000,"Comedy,Drama,Musical",9.4,15,nm0286193,Richard Forestier,"cinematographer,camera_department","tt0407101,tt0109377"
tt0048542,BE,Rakilikal,0,2000,Musical,9,13,nm0286270,AndrÃ¡s ForgÃ¡ch,"writer,actor,miscellaneous","tt0103343,tt0398212,tt0119316,tt2039349"
tt0048545,DK,Subterrain,0,2001,"Drama,Musical",5.9,15,nm0286321,Anthony Forma,"camera_department,cinematographer,editor","tt0356014,tt2331027,tt8692562,tt0086877"
