tconst;titleType;primaryTitle;originalTitle;isAdult;startYear;endYear;runtimeMinutes;genres;averageRating;numVotes
tt0113026;movie;The Fantasticks;The Fantasticks;0;2000;\N;86;Musical,Romance;5.5;41
tt0120733;movie;Lion of Oz;Lion of Oz;0;2000;\N;74;Animation,Family,Musical;8.4;14
tt0151150;movie;Josh;Josh;0;2000;\N;162;Action,Drama,Musical;7.1;32
tt0163080;movie;The Magic Pudding;The Magic Pudding;0;2000;\N;80;Animation,Family,Musical;7.1;49
tt0168629;movie;Dancer in the Dark;Dancer in the Dark;0;2000;\N;140;Crime,Drama,Musical;6.8;10
tt0169102;movie;Lagaan: Once Upon a Time in India;Lagaan: Once Upon a Time in India;0;2001;\N;224;Adventure,Drama,Musical;8.4;17
tt0170635;movie;South Side Story;Sud Side Stori;0;2000;\N;\N;Comedy,Musical,Romance;5.9;3781
tt0182295;movie;Love's Labour's Lost;Love's Labour's Lost;0;2000;\N;93;Comedy,Musical,Romance;6.9;36
tt0188128;movie;Very Annie Mary;Very Annie Mary;0;2001;\N;104;Comedy,Musical;6.1;12
tt0192789;movie;While Supplies Last;While Supplies Last;0;2002;\N;120;Comedy,Musical;5.1;4140
tt0195859;movie;Nachtmusik;Nachtmusik;0;2000;\N;\N;Fantasy,Musical;6.4;17
tt0197633;movie;Live Freaky Die Freaky;Live Freaky Die Freaky;0;2006;\N;75;Animation,Comedy,Musical;8.0;91
tt0199305;movie;Aitanic;Aitanic;0;2000;\N;92;Musical;8.4;10
tt0203009;movie;Moulin Rouge!;Moulin Rouge!;0;2001;\N;127;Drama,Musical,Romance;6.1;23
tt0208993;movie;Downtown 81;Downtown 81;0;2000;\N;72;Comedy,Drama,Musical;6.4;5
tt0210127;movie;Could Be Worse!;Could Be Worse!;0;2000;\N;\N;Musical;6.2;24
tt0211539;tvMovie;Nel cuore del padre;Nel cuore del padre;0;2000;\N;70;Biography,Drama,Musical;8.1;709
tt0211718;movie;Vengo;Vengo;0;2000;\N;90;Drama,Musical;3.7;35
tt0213890;movie;Mohabbatein;Mohabbatein;0;2000;\N;216;Drama,Musical,Romance;7.8;8
tt0219191;short;My Chorus;My Chorus;0;2000;\N;14;Comedy,Musical,Short;4.9;35
tt0219374;movie;Unconditional Love;Unconditional Love;0;2002;\N;124;Comedy,Drama,Musical;7.0;5
tt0222270;movie;Phir Bhi Dil Hai Hindustani;Phir Bhi Dil Hai Hindustani;0;2000;\N;160;Comedy,Drama,Musical;7.7;20
tt0223144;video;Spot's Musical Adventures;Discover Spot;0;2000;\N;\N;Animation,Family,Musical;4.4;12
tt0224267;video;Tom Sawyer;Tom Sawyer;0;2000;\N;89;Animation,Family,Musical;8.7;12
tt0227224;movie;Un paraÃ­so bajo las estrellas;Un paraÃ­so bajo las estrellas;0;2000;\N;90;Comedy,Musical,Romance;7.1;50
tt0233305;short;The Beatles Yellow Submarine Adventure;The Beatles Yellow Submarine Adventure;0;2000;\N;\N;Adventure,Animation,Musical;3.4;48
tt0235807;movie;Stolen Tangos;Tangos volÃ©s;0;2001;\N;95;Comedy,Musical;5.4;355
tt0237727;movie;Shaheed Uddham Singh: Alais Ram Mohammad Singh Azad;Shaheed Uddham Singh: Alais Ram Mohammad Singh Azad;0;2000;\N;165;Biography,Drama,Musical;3.0;74
tt0238936;movie;Devdas;Devdas;0;2002;\N;185;Drama,Musical,Romance;6.3;111
tt0239245;video;Authentiques;Authentiques;0;2000;\N;\N;Documentary,Musical;6.4;120044
tt0240122;movie;Tosca;Tosca;0;2001;\N;126;Drama,Musical;5.3;42
tt0240699;movie;Made in Brazil;Made in Brazil;0;2003;\N;\N;Comedy,Musical;5.4;12
tt0241076;video;Zazie: Made in Live;Zazie: Made in Live;0;2000;\N;100;Documentary,Musical;6.7;12325
tt0242256;movie;Alai Payuthey;Alai Payuthey;0;2000;\N;156;Drama,Musical,Romance;5.3;7
tt0242898;tvMovie;South Pacific;South Pacific;0;2001;\N;129;Comedy,Drama,Musical;4.4;65
tt0243058;tvSeries;Biebabeloela;Biebabeloela;0;2000;\N;\N;Musical;8.7;12
tt0243759;movie;The American Astronaut;The American Astronaut;0;2001;\N;91;Comedy,Musical,Sci-Fi;8.6;5
tt0245837;movie;Chunhyang;Chunhyangdyun;0;2000;\N;116;Drama,Musical,Romance;4.9;672
tt0245848;short;The Miraculous Manderin;CsodÃ¡latos mandarin;0;2001;\N;35;Drama,Musical,Short;6.8;9
tt0247657;movie;Rebels;RebelovÃ©;0;2001;\N;109;Comedy,Musical,Romance;6.8;13
tt0248126;movie;Kabhi Khushi Kabhie Gham...;Kabhi Khushi Kabhie Gham...;0;2001;\N;210;Drama,Musical,Romance;6.6;5
tt0248216;movie;Na Tum Jaano Na Hum;Na Tum Jaano Na Hum;0;2002;\N;158;Comedy,Drama,Musical;6.3;11
tt0248617;movie;Yaadein...;Yaadein...;0;2001;\N;171;Drama,Musical,Romance;7.1;31
tt0250415;movie;Every Heart That Loves;Har Dil Jo Pyar Karega...;0;2000;\N;173;Comedy,Drama,Musical;6.3;23004
tt0250690;movie;Refugee;Refugee;0;2000;\N;207;Drama,Musical,Romance;6.6;248
tt0250774;movie;Your Magical Spell Worked;Tera Jadoo Chal Gayaa;0;2000;\N;143;Musical,Romance;7.0;172192
tt0250829;video;You're Invited to Mary-Kate & Ashley's Greatest Parties;You're Invited to Mary-Kate & Ashley's Greatest Parties;0;2000;\N;90;Musical;3.0;39
tt0252850;video;All or Nothing;All or Nothing;0;2001;\N;88;Drama,Musical;8.0;19
tt0255543;movie;Raja Ko Rani Se Pyar Ho Gaya;Raja Ko Rani Se Pyar Ho Gaya;0;2000;\N;148;Comedy,Musical,Romance;7.5;6
tt0255873;tvSpecial;Peter Pan;Peter Pan;0;2000;\N;105;Family,Fantasy,Musical;6.8;6
tt0256692;movie;Secretly and Stealthily;Chori Chori Chupke Chupke;0;2001;\N;160;Drama,Musical,Romance;6.2;17
tt0258092;short;Rita va al supermercado;Rita va al supermercado;0;2000;\N;15;Comedy,Musical,Short;6.1;17
tt0260263;tvSpecial;Paavo Suuri. Suuri Juoksu. Suuri Uni.;Paavo Suuri. Suuri Juoksu. Suuri Uni.;0;2000;\N;\N;Musical;8.8;10
tt0263026;movie;Abuzer Kadayif;Abuzer Kadayif;0;2000;\N;104;Comedy,Drama,Musical;7.4;22
tt0263206;video;Christmas in South Park;Christmas in South Park;0;2000;\N;100;Animation,Comedy,Musical;9.0;5
tt0263345;video;Flans: El concierto;Flans: El concierto;0;2000;\N;\N;Musical;8.9;17
tt0263503;tvMovie;JÃ³zsef Ã©s testvÃ©rei;JÃ³zsef Ã©s testvÃ©rei;0;2000;\N;\N;Drama,Musical;7.9;55
tt0265148;movie;I Am Crazy About Love;Main Prem Ki Diwani Hoon;0;2003;\N;197;Comedy,Drama,Musical;8.8;21
tt0265260;movie;Smouldering Cigarette;HamvadÃ³ cigarettavÃ©g;0;2001;\N;\N;Drama,Musical,Romance;6.4;410
tt0265274;movie;Landysh serebristyy;Landysh serebristyy;0;2000;\N;88;Comedy,Musical,Romance;7.4;15
tt0265287;short;Lion's Mouth;Lion's Mouth;0;2000;\N;27;Drama,Fantasy,Musical;5.4;11
tt0265803;movie;Anything But Love;Standard Time;0;2002;\N;102;Musical,Romance;8.3;58
tt0265828;movie;Superstarlet A.D.;Superstarlet A.D.;0;2000;\N;70;Comedy,Musical,Sci-Fi;4.6;43
tt0267231;tvSeries;Vazelina hjulkalender;Vazelina hjulkalender;0;2000;\N;10;Adventure,Family,Musical;8.1;31
tt0267263;movie;Animated Corpse;Animated Corpse;0;2000;\N;143;Drama,Fantasy,Musical;7.6;35
tt0268401;movie;Kahin Pyaar Na Ho Jaaye;Kahin Pyaar Na Ho Jaaye;0;2000;\N;159;Comedy,Drama,Musical;7.7;108
tt0269793;tvSpecial;Rocky Horror 25: Anniversary Special;Rocky Horror 25: Anniversary Special;0;2000;\N;99;Comedy,Music,Musical;7.3;63
tt0270694;tvMovie;Titkos szeretÃ¶k;Titkos szeretÃ¶k;0;2000;\N;79;Drama,Musical;8.2;6
tt0270845;movie;Babs;Babs;0;2000;\N;90;Comedy,Musical;8.5;6
tt0271263;movie;Eight Crazy Nights;Eight Crazy Nights;0;2002;\N;76;Animation,Comedy,Musical;7.7;94
tt0272736;movie;Mujhse Dosti Karoge!;Mujhse Dosti Karoge!;0;2002;\N;149;Drama,Family,Musical;8.4;134
